P1,P2,Pi,C1,C2,Ci
,,0,9152,8927,0
9152,8927,0,9646,8927,1
9152,8927,1,8775,8927,2
9152,8927,2,1892,8927,3
9152,8927,3,9518,8927,4
9152,8927,4,9178,8927,5
9152,8927,5,9152,1278,6
1892,8927,5,1892,1278,6
9518,8927,5,9518,1278,6
9152,8927,6,9152,8973,7
8775,8927,7,8775,9953,8
9178,8927,7,9178,9953,8
9152,8927,7,9152,9953,8
9152,8927,8,9152,1256,9
9646,8927,8,9646,1256,9
9152,8927,9,9152,1239,10
9152,1278,10,9152,9960,11
9646,1256,11,9646,7635,12
9152,1256,11,9152,7635,12
9152,9953,12,9152,9925,13
8775,9953,12,8775,9925,13
9152,9953,13,9152,6766,14
9152,8927,14,9152,9292,15
9152,9953,15,6663,9953,16
9152,9960,15,6663,9960,16
9152,8927,15,6663,8927,16
9152,9292,15,6663,9292,16
9152,1278,15,6663,1278,16
9152,9925,16,9152,120,17
6663,8927,17,6663,9492,18
9152,8927,17,9152,9492,18
6663,1278,18,6663,8936,19
9152,1278,18,9152,8936,19
9152,9953,19,9152,9438,20
9152,8927,20,9152,5059,21
6663,8927,20,6663,5059,21
9518,8927,20,9518,5059,21
9178,8927,20,9178,5059,21
9152,9292,21,468,9292,22
9152,1278,21,468,1278,22
9152,8927,21,468,8927,22
9152,9953,21,468,9953,22
9152,9492,21,468,9492,22
9152,9953,22,8890,9953,23
9152,1278,22,8890,1278,23
9152,9953,23,9152,8995,24
9152,9925,24,9117,9925,25
9152,1278,24,9117,1278,25
9152,9960,24,9117,9960,25
9152,8927,24,9117,8927,25
9152,8995,24,9117,8995,25
9152,9953,24,9117,9953,25
9152,5059,24,9117,5059,25
1892,1278,25,1892,9433,26
9152,1278,25,9152,9433,26
6663,1278,25,6663,9433,26
468,1278,25,468,9433,26
9518,1278,25,9518,9433,26
9152,8927,26,9152,2359,27
9152,8936,27,4031,8936,28
9152,8927,27,4031,8927,28
9152,9433,27,4031,9433,28
9152,9960,27,4031,9960,28
9152,9953,27,4031,9953,28
9152,1278,27,4031,1278,28
9152,1278,28,9099,1278,29
9152,9953,28,9099,9953,29
9152,9433,28,9099,9433,29
9152,8927,28,9099,8927,29
9152,5059,28,9099,5059,29
9152,9960,28,9099,9960,29
9152,9492,29,9152,9458,30
9152,8927,30,9152,2582,31
6663,8927,30,6663,2582,31
9152,9492,31,9167,9492,32
9152,1278,31,9167,1278,32
9152,2582,31,9167,2582,32
9152,1239,31,9167,1239,32
9152,8927,31,9167,8927,32
9152,9433,31,9167,9433,32
9152,9953,31,9167,9953,32
9152,1256,31,9167,1256,32
9152,9292,31,9167,9292,32
9152,5059,31,9167,5059,32
6663,8936,32,2186,8936,33
6663,1278,32,2186,1278,33
6663,9433,32,2186,9433,33
6663,8927,32,2186,8927,33
6663,5059,32,2186,5059,33
6663,9960,32,2186,9960,33
9152,1239,33,2616,1239,34
9152,9492,33,2616,9492,34
9152,8927,33,2616,8927,34
9152,1256,33,2616,1256,34
4031,1278,34,9512,1278,35
4031,9433,34,9512,9433,35
4031,8936,34,9512,8936,35
4031,8927,34,9512,8927,35
9152,1256,35,9152,8810,36
2186,9433,36,2186,1259,37
9167,9433,36,9167,1259,37
6663,9433,36,6663,1259,37
4031,9433,37,8068,9433,38
4031,9960,37,8068,9960,38
4031,1278,37,8068,1278,38
4031,8936,37,8068,8936,38
4031,8927,37,8068,8927,38
4031,9953,37,8068,9953,38
9152,9433,38,6334,9433,39
9152,8927,38,6334,8927,39
9152,5059,38,6334,5059,39
6663,9433,39,9650,9433,40
6663,1259,39,9650,1259,40
6663,9292,39,9650,9292,40
6663,1278,39,9650,1278,40
6663,8927,39,9650,8927,40
9167,8927,40,9167,3732,41
9152,1256,41,7699,1256,42
9152,8995,42,9150,8995,43
9152,8927,42,9150,8927,43
9152,5059,42,9150,5059,43
9152,9433,42,9150,9433,43
9152,120,42,9150,120,43
9152,9438,42,9150,9438,43
9152,9925,42,9150,9925,43
9152,9960,42,9150,9960,43
9152,9953,42,9150,9953,43
